Title,Date Published,Author,URL
Ағза донорының маңызы зор,2018-11-06 10:25:21,Egemen Qazaqstan,https://egemen.kz/article/177375-aghza-donorynynh-manhyzy-zor
Мәйіттік донордың маңыздылығы зор,2018-11-01 18:27:40,Майгүл СҰЛТАН,https://egemen.kz/article/177206-mayittik-donordynh-manhyzdylyghy-zor
Ұлттық кардиохирургияда жүрек донорының тапшылығы қалай шешімін тауып жатыр?,2018-09-26 08:07:26,Майгүл СҰЛТАН,https://egemen.kz/article/175019-ulttyq-kardiokhirurgiyada-dgurek-donorynynh-tapshylyghy-qalay-sheshimin-tauyp-dg
Жамбылда 250-ге тарта адам донорға мұқтаж,2018-08-20 11:36:05,Egemen Qazaqstan,https://egemen.kz/article/173106-zhambylda-250-ge-tarta-adam-donorgha-muqtadg
Атырауда алғаш рет «инфо-донор» бағдарламасы іске қосылды,2018-08-07 17:22:23,Egemen Qazaqstan,https://egemen.kz/article/172600-atyrauda-alghash-ret-info-donor-baghdarlamasy-iske-qosyldy
Донор әке – дүбәра ұрпақ,2018-01-23 09:20:41,Сүлеймен МӘМЕТ,https://egemen.kz/article/164044-donor-ake-–-dubara-urpaq
Астанада Қайырымдылық ұйымдары өкілдері мен донорлардың республикалық форумы өтті,2017-12-12 08:33:55,Egemen Qazaqstan,https://egemen.kz/article/162393-astanada-qayyrymdylyq-uyymdary-okilderi-men-donorlardynh-respublikalyq-forumy-ot
Есепсіз донорлықтың ертеңі алаңдатады,2017-12-12 08:25:07,Майгүл СҰЛТАН,https://egemen.kz/article/162390-esepsiz-donorlyqtynh-ertenhi-alanhdatady
Астанада Қайырымдылық ұйымдар өкілдері мен донорлардың республикалық форумы өтті,2017-12-11 23:43:06,Egemen Qazaqstan,https://egemen.kz/article/162387-astanada-qayyrymdylyq-uyymdar-okilderi-men-donorlardynh-respublikalyq-forumy-ott
Ақтөбеде мәйіт донорлығымен бауыр операциясы жасалды,2017-10-04 09:52:04,Egemen Qazaqstan,https://egemen.kz/article/159182-aqtobede-mayit-donorlyghymen-bauyr-operatsiyasy-dgasaldy
Солтүстік Қазақстанда  теріс резусты донорлар кеміп барады,2017-08-04 09:50:17,Egemen Qazaqstan,https://egemen.kz/article/156387-soltustik-qazaqstanda- teris-rezusty-donorlar-kemip-barady
Донор сыйлаған өмір,2017-03-28 11:08:41,Egemen Qazaqstan,https://egemen.kz/article/118696-donor-syylaghan-omir
Донорларға зәру заман,2017-01-17 09:21:31,,https://egemen.kz/article/48-donorlargha-zaru-zaman
Донорларға зәру заман,2017-01-17 09:00:10,Egemen Qazaqstan,https://egemen.kz/article/110793-donorlargha-zaru-zaman
Донорлық көмек,2016-07-01 08:51:16,Egemen Qazaqstan,https://egemen.kz/article/102241-donorlyq-komek
Донор әжей,2016-03-11 08:18:44,Egemen Qazaqstan,https://egemen.kz/article/97040-donor-adgey
Тегін донорлық насихатталды,2014-07-17 09:15:26,Egemen Qazaqstan,https://egemen.kz/article/34280-tegin-donorlyq-nasikhattaldy
Астана ел бюджетінің донорлары қатарына кіреді,2014-04-28 20:54:03,Egemen Qazaqstan,https://egemen.kz/article/31718-astana-el-byuddgetininh-donorlary-qataryna-kiredi
Ел экономикасының басты «доноры»,2014-02-21 08:24:26,Egemen Qazaqstan,https://egemen.kz/article/29539-el-ekonomikasynynh-basty-donory
Елімізде донорлар тізімі жасалады,2013-08-30 07:26:16,Egemen Qazaqstan,https://egemen.kz/article/22741-elimizde-donorlar-tizimi-dgasalady
Трансплантация: Донорды қайдан табамыз?,2013-02-16 22:15:48,Egemen Qazaqstan,https://egemen.kz/article/20079-transplantatsiya-donordy-qaydan-tabamyz
ДОНОР ҚАНЫ АДАМҒА  ӨМІР СЫЙЛАЙДЫ,2010-06-26 08:12:08,Egemen Qazaqstan,https://egemen.kz/article/3811-donor-qany-adamgha-omir-syylaydy
